"id","label","obsolete","ordering"
"1010","label.administrative.route.secondary1010","0","1010"
"1011","label.administrative.route.secondary1011","0","1011"
"1012","label.administrative.route.secondary1012","0","1012"
"1013","label.administrative.route.secondary1013","0","1013"
"1014","label.administrative.route.secondary1014","0","1014"
"1015","label.administrative.route.secondary1015","0","1015"
"1016","label.administrative.route.secondary1016","0","1016"
"1017","label.administrative.route.secondary1017","0","1017"
"1018","label.administrative.route.secondary1018","0","1018"
"1019","label.administrative.route.secondary1019","0","1019"
"1020","label.administrative.route.secondary1020","0","1020"
"1021","label.administrative.route.secondary1021","0","1021"
"1022","label.administrative.route.secondary1022","0","1022"
"1023","label.administrative.route.secondary1023","0","1023"
"1024","label.administrative.route.secondary1024","0","1024"
"1025","label.administrative.route.secondary1025","0","1025"
"1026","label.administrative.route.secondary1026","0","1026"
"1027","label.administrative.route.secondary1027","0","1027"
"1028","label.administrative.route.secondary1028","0","1028"
"1029","label.administrative.route.secondary1029","0","1029"
"2000","label.administrative.route.secondary2000","0","2000"
"2001","label.administrative.route.secondary2001","0","2001"
"2002","label.administrative.route.secondary2002","0","2002"
"2003","label.administrative.route.secondary2003","0","2003"
"2004","label.administrative.route.secondary2004","0","2004"
"2005","label.administrative.route.secondary2005","0","2005"
"2006","label.administrative.route.secondary2006","0","2006"
"2007","label.administrative.route.secondary2007","0","2007"
"2008","label.administrative.route.secondary2008","0","2008"
"2009","label.administrative.route.secondary2009","0","2009"
"2010","label.administrative.route.secondary2010","0","2010"
"2011","label.administrative.route.secondary2011","0","2011"
"2012","label.administrative.route.secondary2012","0","2012"
"2013","label.administrative.route.secondary2013","0","2013"
"2014","label.administrative.route.secondary2014","0","2014"
"2015","label.administrative.route.secondary2015","0","2015"
"2016","label.administrative.route.secondary2016","0","2016"
"2017","label.administrative.route.secondary2017","0","2017"
"2018","label.administrative.route.secondary2018","0","2018"
"2019","label.administrative.route.secondary2019","0","2019"
"2020","label.administrative.route.secondary2020","0","2020"
"2021","label.administrative.route.secondary2021","0","2021"
"2022","label.administrative.route.secondary2022","0","2022"
"2023","label.administrative.route.secondary2023","0","2023"
"2024","label.administrative.route.secondary2024","0","2024"
"2025","label.administrative.route.secondary2025","0","2025"
"2026","label.administrative.route.secondary2026","0","2026"
"2027","label.administrative.route.secondary2027","0","2027"
"2028","label.administrative.route.secondary2028","0","2028"
"2029","label.administrative.route.secondary2029","0","2029"
"2030","label.administrative.route.secondary2030","0","2030"
"2031","label.administrative.route.secondary2031","0","2031"
"2032","label.administrative.route.secondary2032","0","2032"
"2033","label.administrative.route.secondary2033","0","2033"
"2034","label.administrative.route.secondary2034","0","2034"
"2035","label.administrative.route.secondary2035","0","2035"
"2036","label.administrative.route.secondary2036","0","2036"
"2037","label.administrative.route.secondary2037","0","2037"
"2038","label.administrative.route.secondary2038","0","2038"
"2039","label.administrative.route.secondary2039","0","2039"
"2040","label.administrative.route.secondary2040","0","2040"
"2041","label.administrative.route.secondary2041","0","2041"
"2042","label.administrative.route.secondary2042","0","2042"
"2043","label.administrative.route.secondary2043","0","2043"
"2044","label.administrative.route.secondary2044","0","2044"
"2045","label.administrative.route.secondary2045","0","2045"
"2046","label.administrative.route.secondary2046","0","2046"
"2047","label.administrative.route.secondary2047","0","2047"
"2048","label.administrative.route.secondary2048","0","2048"
"2049","label.administrative.route.secondary2049","0","2049"
"2050","label.administrative.route.secondary2050","0","2050"
"2051","label.administrative.route.secondary2051","0","2051"
"2052","label.administrative.route.secondary2052","0","2052"
"2053","label.administrative.route.secondary2053","0","2053"
"2054","label.administrative.route.secondary2054","0","2054"
"2055","label.administrative.route.secondary2055","0","2055"
"2056","label.administrative.route.secondary2056","0","2056"
"2057","label.administrative.route.secondary2057","0","2057"
"2058","label.administrative.route.secondary2058","0","2058"
"2059","label.administrative.route.secondary2059","0","2059"
"2060","label.administrative.route.secondary2060","0","2060"
"2061","label.administrative.route.secondary2061","0","2061"
"2062","label.administrative.route.secondary2062","0","2062"
"2063","label.administrative.route.secondary2063","0","2063"
"2064","label.administrative.route.secondary2064","0","2064"
